size,Triton (GB/s),Torch (GB/s)
4096.000000,3.580420,15.495586
8192.000000,22.776645,30.007326
16384.000000,45.553290,57.286713
32768.000000,90.021978,109.591973
65536.000000,177.925792,196.411588
131072.000000,308.646782,293.663928
262144.000000,420.102564,423.040344
524288.000000,530.655870,562.742039
1048576.000000,645.277538,675.919209
2097152.000000,705.478358,705.478358
4194304.000000,634.699218,633.453081
8388608.000000,578.897313,581.331116
16777216.000000,555.874405,560.136752
33554432.000000,547.657576,550.578104
67108864.000000,542.288008,546.748841
134217728.000000,539.360601,543.696845
